,Date,Volume,Open,High,Low,Close
0,20210601,14058401,80500,81300,80100,80600
1,20210602,16414644,80400,81400,80300,80800
2,20210603,29546007,81300,83000,81100,82800
3,20210604,18112259,82700,82700,81500,82200
4,20210607,16496197,82700,82800,81600,81900
5,20210608,12781226,82300,82600,81800,81900
6,20210609,14908823,81500,82000,81100,81100
7,20210610,17586995,81300,81400,80900,81000
8,20210611,14087962,81200,81700,80700,81000
9,20210614,10550078,80800,80900,80500,80500
10,20210615,10075685,80900,81200,80600,80900
11,20210616,14999855,81500,81900,81100,81800
12,20210617,14007385,81100,81300,80700,80900
13,20210618,14916721,81100,81100,80500,80500
14,20210621,16063340,79700,80000,79600,79900
15,20210622,11773365,80200,80300,79900,80000
16,20210623,13856548,80500,80600,79900,80100
17,20210624,18771080,80400,81400,80100,81200
18,20210625,13481405,81500,81900,81200,81600
19,20210628,11578529,81700,82000,81600,81900
20,20210629,15744317,81900,82100,80800,81000
21,20210630,13288643,81100,81400,80700,80700
22,20210701,13382882,80500,80600,80000,80100
23,20210702,8753097,80000,80400,79900,80000
24,20210705,8330969,80100,80800,80000,80400
25,20210706,12131651,80600,81200,80500,81200
26,20210707,15992202,81200,81300,80300,80800
27,20210708,16660998,81100,81200,79900,79900
28,20210709,22720577,79600,79800,79000,79400
29,20210712,9768108,79900,80000,79500,79700
30,20210713,9863450,80000,80200,79800,79800
31,20210714,11575636,79400,79600,79100,79500
32,20210715,13766279,79800,80600,79500,80600
33,20210716,10859399,80100,80100,79500,79800
34,20210719,13155414,79100,79200,78800,79000
35,20210720,12456646,78500,79000,78400,79000
36,20210721,12355296,79000,79100,78500,78500
37,20210722,12618790,79000,79800,78900,79700
38,20210723,9098910,79700,79900,79200,79300
39,20210726,10040975,79400,79500,78800,78800
40,20210727,11427693,79200,79400,78500,78500
41,20210728,12743417,78300,79200,78100,79200
42,20210729,14360453,78800,79400,78800,79000
43,20210730,13823411,78900,78900,78500,78500
44,20210802,11739124,79200,79500,78700,79300
45,20210803,24339360,79400,81400,79300,81400
46,20210804,25642368,82200,83100,81800,82900
47,20210805,18485469,83300,83300,82000,82100
48,20210806,13342623,81900,82500,81300,81500
49,20210809,15522581,81500,82300,80900,81500
50,20210810,20362639,82300,82400,80100,80200
51,20210811,30241137,79600,79800,78500,78500
52,20210812,42365223,77100,78200,76900,77000
53,20210813,61270643,75800,76000,74100,74400
54,20210817,30944847,74000,75100,74000,74200
55,20210818,29192631,73900,74600,73100,73900
56,20210819,22166298,73500,74400,73100,73100
57,20210820,22364803,73500,73900,72500,72700
58,20210823,19384648,73300,74000,73000,73300
59,20210824,21016913,73900,75700,73900,75600
60,20210825,22319664,76200,76600,74900,75700
61,20210826,16671494,76100,76200,74600,74600
62,20210827,15172748,74300,75000,73800,74300
63,20210830,12686999,75400,75500,74200,74600
64,20210831,24630370,74900,76700,74300,76700
65,20210901,16114775,76700,77100,75900,76800
66,20210902,15347486,76800,76800,75700,76000
67,20210903,12096419,76400,76700,76000,76600
68,20210906,12861180,76800,77600,76600,77300
69,20210907,13239401,77100,77100,75900,76100
70,20210908,11798147,76000,76400,75600,76300
71,20210909,17600770,76400,76600,75000,75300
72,20210910,10103212,75300,75600,74800,75300
73,20210913,11397775,75200,76300,75100,76300
74,20210914,18167057,77100,77700,76600,76600
75,20210915,12829128,77400,77400,76400,77000
76,20210916,13067622,77300,77400,76100,76100
77,20210917,16289502,76300,77200,75900,77200
78,20210923,17055590,77500,77600,76800,77400
79,20210924,12247274,77600,77700,77100,77300
80,20210927,11699798,77300,77700,77000,77700
81,20210928,15406382,77700,77800,76200,76300
82,20210929,23992458,74800,75300,73800,74100
83,20210930,19919361,74300,74800,73700,74100
84,20211001,15803395,73900,74000,72900,73200
85,20211005,24013921,73000,73000,71400,72200
86,20211006,18956962,72600,72800,71200,71300
87,20211007,13683532,71600,72100,71300,71600
88,20211008,14043287,72300,72400,71500,71500
89,20211012,31001484,70700,70900,68700,69000
90,20211013,24172015,68700,69600,68300,68800
91,20211014,19520641,69000,69800,68800,69400
92,20211015,18051612,70200,71000,70000,70100
93,20211018,13486391,70200,70300,69200,70200
94,20211019,9507991,70800,71000,70400,70600
95,20211020,10151638,70700,71000,70200,70300
96,20211021,10891094,70300,70600,70000,70200
97,20211022,8395448,70000,70700,70000,70400
98,20211025,10029621,69900,70600,69500,70200
99,20211026,10528252,70600,71500,70400,71100
100,20211027,10295316,71000,71000,70000,70100
101,20211028,20644902,69500,72200,69500,70700
102,20211029,17016151,71200,71600,69700,69800
103,20211101,11503729,70200,70600,69900,69900
104,20211102,16812570,70800,72200,70700,71500
105,20211103,12770428,71700,71700,70100,70400
106,20211104,11818987,71200,71600,70500,70600
107,20211105,12667743,71600,71600,70200,70200
108,20211108,11121981,70400,70600,69800,70600
109,20211109,11159589,70300,71000,70100,70500
110,20211110,9422009,70300,70900,70200,70200
111,20211111,11489122,69900,70000,69600,69900
112,20211112,10087450,70200,70900,69900,70600
113,20211115,12420710,71700,71900,70900,71400
114,20211116,10919239,71500,72000,71300,71300
115,20211117,11027606,71300,71600,70600,70700
116,20211118,10144957,70700,71000,70200,70200
117,20211119,11954728,70400,71400,70100,71200
118,20211122,27506623,73300,75200,73000,74900
119,20211123,22029195,76000,76000,74500,75300
120,20211124,15652305,76000,76200,74100,74800
121,20211125,12559258,75100,75100,73600,73700
122,20211126,13002242,73500,74100,72000,72300
123,20211129,16682559,71700,73000,71400,72300
124,20211130,30364841,73200,73900,70500,71300
125,20211201,21954856,72000,74800,71600,74400
126,20211202,23652940,73900,75800,73800,75800
127,20211203,18330240,75600,76000,74100,75600
128,20211206,16391250,75100,76700,74900,76300
129,20211207,19232453,76100,77700,75600,77400
130,20211208,21558340,78300,78600,77100,77400
131,20211209,21604528,77400,78200,77000,78200
132,20211210,9155219,77400,77600,76800,76900
