,Date,Volume,Open,High,Low,Close
493,20230530,27476897,71300,72300,71200,72300
492,20230526,19549511,69800,70400,69500,70300
491,20230525,14231160,69900,70000,68700,68800
490,20230524,8192896,68100,68700,68000,68500
489,20230523,8561643,68500,68700,68100,68400
488,20230522,14470308,68400,69000,68000,68500
487,20230519,20349345,67800,68400,67500,68400
486,20230518,14431704,66000,66200,65700,66200
485,20230517,10745504,65900,65900,64800,65000
484,20230516,12334657,65800,65900,65300,65400
483,20230515,8172021,64100,64600,63900,64500
482,20230512,8693913,63700,64600,63600,64100
481,20230511,11648905,64700,65100,64200,64200
480,20230510,13057727,65500,65500,64300,64600
479,20230509,9366861,65800,65800,65100,65300
478,20230508,9405365,66300,66300,65400,65900
477,20230504,9791064,65600,65700,64700,65100
476,20230503,8876749,65100,65600,64900,65400
475,20230502,14396948,66000,66300,65100,65700
474,20230428,19699481,65200,65900,65000,65500
473,20230427,14779601,64100,65000,63300,64600
472,20230426,12664541,63600,64300,63300,64100
471,20230425,16193271,65300,65400,63400,63600
470,20230424,12986581,65300,65700,64800,65200
469,20230421,10538622,65800,65900,65400,65700
468,20230420,9501169,65100,65300,64600,65300
467,20230419,10255985,65500,65800,65300,65500
466,20230418,14802060,65900,66000,64800,65600
465,20230417,13486618,65000,65600,64700,65300
464,20230414,16176490,66600,66600,65000,65100
463,20230413,15091022,65600,66100,65400,66100
462,20230412,15021313,65800,66200,65300,66000
461,20230411,16323183,66200,66200,65400,65900
460,20230410,18777166,64800,66300,64700,65700
459,20230407,27476120,63800,65200,63800,65000
458,20230406,14992747,63500,63600,62300,62300
457,20230405,9176149,63700,64000,63400,63900
456,20230404,11120514,63400,63800,62800,63600
455,20230403,11973133,64000,64000,63000,63100
454,20230331,14094479,64000,64000,63700,64000
453,20230330,15684377,63700,63700,63100,63200
452,20230329,11216008,62500,62700,62200,62700
451,20230328,11614118,62400,62900,62100,62900
450,20230327,11039331,62600,62800,62000,62100
449,20230324,18278602,62700,63300,62300,63000
448,20230323,15381057,60600,62300,60600,62300
447,20230322,8978591,61000,61200,60500,61100
446,20230321,8318514,60500,60700,60100,60300
445,20230320,9618009,61100,61200,60200,60200
444,20230317,14090110,60800,61300,60600,61300
443,20230316,10611939,59200,60200,59100,59900
442,20230315,10482149,60000,60300,59600,59800
441,20230314,12147346,59400,59500,59000,59000
440,20230313,12779724,59900,60200,59300,60000
439,20230310,11902471,59500,59700,59100,59500
438,20230309,14334499,60500,60800,59900,60100
437,20230308,14161857,60100,60500,59900,60300
436,20230307,11473280,61400,61400,60700,60700
435,20230306,13630602,61100,61600,60800,61500
434,20230303,10711405,61000,61200,60500,60500
433,20230302,13095682,60900,61800,60500,60800
432,20230228,13715861,60800,61400,60500,60600
431,20230227,11155697,60800,60800,60200,60500
430,20230224,10308143,62300,62600,61300,61300
429,20230223,13047099,61700,62500,61500,62000
428,20230222,11959088,61500,61800,61000,61100
427,20230221,7665046,62700,62800,62000,62100
426,20230220,12908073,62900,63000,61800,62700
425,20230217,10791265,62900,63300,62400,62600
424,20230216,13798831,62500,63700,62400,63700
423,20230215,13208103,63900,63900,62000,62200
422,20230214,9126664,63600,63900,63200,63200
421,20230213,10730362,62900,63000,62300,62900
420,20230210,9382576,62600,63000,62400,62800
419,20230209,12164865,63000,63300,62300,63000
418,20230208,12243125,62800,63300,62400,63100
417,20230207,14491039,61900,62500,61600,61900
416,20230206,15529356,62800,63000,61600,61600
415,20230203,15194598,63900,64000,63000,63800
414,20230202,23285983,63200,63900,62600,63500
