avg_ipt,bytes_in,bytes_out,dest_ip,dest_port,entropy,num_pkts_out,num_pkts_in,proto,src_ip,src_port,time_end,time_start,total_entropy,label,duration
0,0,0,786,31306,0.0,1,0,6,786,47613,1655074782132491,1655074782132491,0.0,outlier,0.0
0,0,0,786,24298,0.0,1,0,6,786,47613,1655074782573321,1655074782573321,0.0,outlier,0.0
0,0,0,786,31789,0.0,1,0,6,786,47613,1655074783148517,1655074783148517,0.0,outlier,0.0
0,0,0,786,29409,0.0,1,0,6,786,47613,1655074783149855,1655074783149855,0.0,outlier,0.0
0,0,0,786,60965,0.0,1,0,6,786,47613,1655074783167254,1655074783167254,0.0,outlier,0.0
0,0,0,786,26554,0.0,1,0,6,786,47613,1655074787266795,1655074787266795,0.0,outlier,0.0
0,0,0,786,54352,0.0,1,0,6,786,47613,1655074789427635,1655074789427635,0.0,outlier,0.0
0,8,8,786,"",2.75,1,1,1,786,"",165507478220884,1655074782208756,43.999996,malicious,8.4E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074785664136,165507478566404,47.999996,malicious,9.6E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074786464056,1655074786463946,47.999996,malicious,1.1E-4
0,0,0,786,24556,0.0,1,0,6,786,47613,1655074752606846,1655074752606846,0.0,outlier,0.0
0,0,0,786,42553,0.0,1,0,6,786,47613,1655074754701636,1655074754701636,0.0,outlier,0.0
3858.5,0,600,786,67,1.615865,2,0,17,786,68,1655074755871174,1655074748153945,969.5192,benign,7.717229
0,0,0,786,5189,0.0,1,0,6,786,9080,1655074758283669,1655074758283669,0.0,outlier,0.0
0,0,0,786,953,0.0,4,2,6,786,35814,1655074760866361,1655074750719129,0.0,outlier,10.147232
149,12,12,786,5900,2.886842,5,5,6,786,44706,1655074765655243,1655074765207579,69.28421,outlier,0.447664
0,0,0,786,32496,0.0,1,0,6,786,47613,1655074766109008,1655074766109008,0.0,outlier,0.0
144.5,12,12,786,5900,2.886842,5,5,6,786,47300,1655074767097834,1655074766655196,69.28421,outlier,0.442638
0,0,0,786,13991,0.0,1,0,6,786,47613,1655074767065795,1655074767065795,0.0,outlier,0.0
0,0,0,786,43130,0.0,1,0,6,786,30960,1655074767503612,1655074767503612,0.0,outlier,0.0
0,8,8,786,"",2.75,1,1,1,786,"",1655074760360815,1655074760360722,43.999996,malicious,9.3E-5
157,12,12,786,5900,2.886842,5,5,6,786,39946,1655074801948267,165507480147735,69.28421,outlier,0.470917
0,0,0,786,14599,0.0,1,0,6,786,47613,165507484980445,165507484980445,0.0,outlier,0.0
0,0,0,786,15402,0.0,1,0,6,786,47613,1655074853394147,1655074853394147,0.0,outlier,0.0
147,19,43,786,3389,3.678133,4,4,6,786,55991,1655074855065169,1655074854564355,228.04424,outlier,0.500814
357.75,112,112,786,"",1.091673,2,2,1,786,"",1655074851272666,1655074849841208,244.53473,outlier,1.431458
0,8,8,786,"",3.0,1,1,1,786,"",1655074852115233,1655074852115144,47.999996,outlier,8.9E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074852551305,1655074852551207,47.999996,malicious,9.8E-5
0,56,56,786,"",1.020244,1,1,1,786,"",1655074853050026,1655074853049697,114.267365,malicious,3.29E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074853276793,1655074853276698,47.999996,outlier,9.5E-5
80.5,19,43,786,3389,3.678133,4,3,6,786,63969,1655074753828228,1655074753600057,228.04424,outlier,0.228171
0,0,0,786,12464,0.0,1,0,6,786,47613,1655074754699149,1655074754699149,0.0,outlier,0.0
0,0,0,786,62407,0.0,1,0,6,786,47613,1655074759454729,1655074759454729,0.0,outlier,0.0
0,0,0,786,26469,0.0,1,0,6,786,47613,1655074763683012,1655074763683012,0.0,outlier,0.0
0,0,0,786,30783,0.0,1,0,6,786,47613,1655074764614318,1655074764614318,0.0,outlier,0.0
146,12,12,786,5900,2.886842,5,5,6,786,43938,165507476524618,1655074764807168,69.28421,outlier,0.439012
0,8,8,786,"",2.75,1,1,1,786,"",1655074755958583,1655074755958511,43.999996,malicious,7.2E-5
0,8,8,786,"",3.0,1,1,1,786,"",1655074762783625,1655074762783542,47.999996,outlier,8.3E-5
0,8,8,786,"",3.0,1,1,1,786,"",165507476660575,165507476660562,47.999996,malicious,1.3E-4
0,8,8,786,"",3.0,1,1,1,786,"",1655074767459864,1655074767459812,47.999996,outlier,5.2E-5
104,19,164,786,9080,5.234031,5,5,6,786,44520,165507472197425,1655074721652247,957.82764,outlier,0.322003
548.5,19,44,786,9080,4.250656,6,4,6,786,35654,1655074721444799,1655074720144564,267.79132,outlier,1.300235
62,0,47,786,44422,4.155132,5,3,6,786,61928,1655074721864987,1655074721749613,195.29121,outlier,0.115374
0,8,8,786,"",3.0,1,1,1,786,"",1655074721830426,1655074721830319,47.999996,malicious,1.07E-4
0,8,8,786,"",3.0,1,1,1,786,"",165507475004137,1655074750041256,47.999996,malicious,1.14E-4
0,0,0,786,17874,0.0,1,0,6,786,47613,1655075030798382,1655075030798382,0.0,outlier,0.0
0,0,0,786,33798,0.0,1,0,6,786,5060,1655075031691816,1655075031691816,0.0,outlier,0.0
0,0,0,786,40807,0.0,1,0,6,786,47613,1655075032424236,1655075032424236,0.0,outlier,0.0
7.5,48,48,786,123,4.862692,1,1,17,786,123,1655075033913868,1655075033898016,466.81842,outlier,0.015852
0,8,8,786,"",2.75,1,1,1,786,"",1655075029544307,1655075029544204,43.999996,malicious,1.03E-4
0,0,0,786,38897,0.0,1,0,6,786,47613,1655075035555919,1655075035555919,0.0,outlier,0.0
0,0,0,786,10887,0.0,1,0,6,786,47613,1655075037712045,1655075037712045,0.0,outlier,0.0
53687458.175,32055,35228,786,9200,27.8322,198,249,6,786,50392,1655075048141724,1655075018600976,1872633.9,benign,29.540749
51130920.27380952,38346,56927,786,9200,26.110659,110,206,6,786,50366,165507504862929,1655075018601056,2487640.8,benign,30.028234
50529372.964705884,38636,8014,786,9200,32.04859,225,159,6,786,50422,1655075048115423,1655075018601277,1495066.8,benign,29.514147
